Sat Jun  8 23:00:19 2019, 0, 2.1942097511556415, 0.37327134874131945, 0.17211725704072378
Sun Jun  9 00:52:46 2019, 1, 1.6328457362122006, 0.6063754611545139, 0.22831604811641146
Sun Jun  9 03:01:58 2019, 2, 1.3554297321372561, 0.6479928927951389, 0.24597123004135898
Sun Jun  9 19:14:02 2019, 3, 1.223320010635588, 0.6600265842013889, 0.2542705693212851
Sun Jun  9 22:52:35 2019, 4, 1.1544827901654773, 0.6659376356336806, 0.25995369264822593
Mon Jun 10 00:43:09 2019, 5, 1.108175802561972, 0.669810791015625, 0.26591822184157315
Mon Jun 10 03:12:19 2019, 6, 1.0662265866994858, 0.6740353732638888, 0.26696237783145416
Mon Jun 10 08:49:47 2019, 7, 1.037545084953308, 0.6767658148871528, 0.27094555929721836
Mon Jun 10 14:39:37 2019, 8, 1.0087793899907007, 0.6808112250434027, 0.2753860867979148
Mon Jun 10 21:10:52 2019, 9, 0.9857790089315839, 0.6871238878038195, 0.2854172556263783
Tue Jun 11 02:44:16 2019, 10, 0.9119972329248082, 0.7179493297230114, 0.26960965566941414
Tue Jun 11 14:07:16 2019, 11, 0.7955462742935527, 0.7604214754971591, 0.2911556216371296
Tue Jun 11 22:13:16 2019, 12, 0.75400280139663, 0.7720144930752841, 0.29815927312742246
Wed Jun 12 02:25:01 2019, 13, 0.73082335293293, 0.7796388938210227, 0.302679703732934
